fast_actual_share,fast_predicted_share,station_count,country_code,demand_score_filled,ev_models,actual_gap,predicted_gap,data_quality_flag,confidence_level,risk_cluster,risk_level
0.5,0.80469925169813,2,IQ,0.8575031263667221,21.0,0.3575031263667221,0.052803874668592155,low_station_count,low,0,Medium
0.5434782608695652,0.794015389194168,138,UY,0.8464638256037036,1.0,0.3029855647341384,0.05244843640953556,ok,standard,0,Medium
0.5245901639344263,0.8028200413239757,61,CO,0.8464638256037036,1.0,0.32187366166927733,0.043643784279727926,ok,standard,0,Medium
0.6037735849056604,0.8422333055784244,159,ZA,0.8710109347905514,,0.267237349884891,0.02877762921212701,ok,standard,0,Medium
0.8,0.8443999333953481,5,FO,0.8710109347905514,,0.07101093479055132,0.026611001395203226,low_station_count,low,2,Low
0.8,0.8529172346474223,15,XK,0.8710109347905514,,0.07101093479055132,0.018093700143129055,low_station_count,low,2,Low
0.6764705882352942,0.8638216763625082,34,MD,0.8710109347905514,,0.1945403465552572,0.007189258428043188,low_station_count,low,2,Low
1.0,0.8711615750388302,4,QA,0.8575031263667221,21.0,-0.1424968736332779,-0.013658448672108081,low_station_count,low,2,Low
0.6999546073536087,0.9021096071696216,2203,RU,0.8710109347905514,,0.17105632743694266,-0.03109867237907027,ok,standard,2,Low
0.9285714285714286,0.906934243808121,28,TH,0.8710109347905514,,-0.05756049378087724,-0.03592330901756968,low_station_count,low,2,Low
0.825,0.9205961744965225,40,BY,0.8710109347905514,,0.046010934790551405,-0.049585239705971174,low_station_count,low,2,Low
0.8636363636363636,0.9082904749584725,22,OM,0.8575031263667221,21.0,-0.006133237269641545,-0.05078734859175038,low_station_count,low,2,Low
0.9545454545454546,0.9003297488626479,22,AR,0.8464638256037036,1.0,-0.108081628941751,-0.05386592325894435,low_station_count,low,2,Low
0.3333333333333333,0.9174734610603142,3,PS,0.8575031263667221,21.0,0.5241697930333888,-0.05997033469359214,low_station_count,low,0,Medium
0.9397590361445783,0.9690568592719343,83,LV,0.8920370892166337,111.0,-0.047721946927944625,-0.07701977005530058,ok,standard,2,Low
0.9230769230769231,0.9750948523865488,169,EE,0.8920370892166337,111.0,-0.031039833860289412,-0.08305776316991509,ok,standard,2,Low
0.8936170212765957,0.9399384491975569,47,PY,0.8464638256037036,1.0,-0.04715319567289211,-0.09347462359385328,low_station_count,low,2,Low
0.8916518650088809,0.965666916770444,563,UA,0.8710109347905514,,-0.02064093021832958,-0.09465598197989267,ok,standard,2,Low
0.9320987654320988,0.9731008966153254,162,TW,0.8710109347905514,,-0.061087830641547436,-0.10208996182477403,ok,standard,2,Low
1.0,0.9877628178027431,161,KR,0.8710109347905514,,-0.12898906520944864,-0.11675188301219175,ok,standard,2,Low
0.9355932203389831,0.9813953701829343,295,IL,0.8575031263667221,21.0,-0.07809009397226097,-0.12389224381621222,ok,standard,2,Low
